Project,Location,z [m],qc [MPa],qt [MPa],fs [MPa],u2 [MPa],Qt [-],Fr [%],Bq [-],Ic [-],Vertical total stress [kPa],Vertical effective stress [kPa],Void ratio from CPT [-],Total unit weight [kN/m3],Vs [m/s]
HKN,HKN75-SCPT-A,15.48,32.50688,32.57217992,0.21653804,0.155476,238.3265736,0.671071382,-9.92E-05,1.464179046,294.12,135.45,0.457705996,19,272.0168178
HKN,HKN75-SCPT-A,16.47,32.30069231,32.36534646,0.236032808,0.153938462,222.4175009,0.739736483,-0.000424647,1.50761772,312.93,144.1125,0.433493697,19,271.1149481
HKN,HKN75-SCPT-A,17.56,41.56316,41.63774528,0.264698238,0.177584,268.8036138,0.641011493,-5.74E-05,1.15977629,333.64,153.65,0.413696859,19,326.036709
HKN,HKN75-SCPT,5.49,11.0085,11.03076,0.090214769,0.053,214.7649894,0.841776816,-0.00029108,1.712019549,107.055,50.7825,0.819618026,19.5,196.3
HKN,HKN75-SCPT,6.48,14.03732,14.06486864,0.11669964,0.065592,232.5755475,0.836923705,-5.85E-05,1.66524467,126.36,59.94,0.725666614,19.5,217.13
HKN,HKN75-SCPT,7.48,15.68556,15.71499696,0.1184204,0.070088,224.8584466,0.764056053,-0.00045363,1.627380012,145.86,69.19,0.692520373,19.5,247.37
HKN,HKN75-SCPT,8.47,18.77503846,18.80391508,0.148547269,0.068753846,237.8403875,0.797641064,-0.000964347,1.604110433,165.165,78.3475,0.622457716,19.5,256.81
HKN,HKN75-SCPT,9.48,21.80744,21.84782384,0.14764184,0.096152,247.0475171,0.68082251,-4.73E-05,1.527715547,184.86,87.69,0.603047384,19.5,279.08
HKN,HKN75-SCPT,10.47,16.61523077,16.65906746,0.143161039,0.104373077,170.0607545,0.87375276,-0.000175486,1.703191045,204.165,96.8475,0.589616558,19.5,313.28
HKN,HKN75-SCPT,11.48,15.415,15.46348816,0.1234352,0.115448,143.5379177,0.810811373,-0.000145121,1.723222919,223.86,106.19,0.600210177,19.5,274.7
HKN,HKN75-SCPT,12.48,12.92812,12.98125,0.10389004,0.1265,110.3303345,0.815945082,-0.000111384,1.801690652,243.36,115.44,0.616613511,19.5,256.1
HKN,HKN75-SCPT,13.48,13.04536,13.1001196,0.11301904,0.13038,103.1161639,0.899027561,-0.000617934,1.845383648,262.86,124.69,0.586638134,19.5,375.4671572
HKN,HKN75-SCPT,14.47,26.87673077,26.93230969,0.195588692,0.132330769,199.125538,0.735477124,-0.000602876,1.553423902,282.165,133.8475,0.476852164,19.5,321.99
HKN,HKN72-SCPT-A,29.98,5.32668,5.50341432,0.08464136,0.420796,16.74719032,2.292781923,0.029054899,2.81856918,599.6,292.305,0.550894792,20,324.51
HKN,HKN72-SCPT-A,31.48,24.03376,24.17729248,0.17429592,0.341744,76.51717935,1.399596011,0.004188885,2.010923025,629.6,306.93,0.370985843,20,320.28
HKN,HKN72-SCPT-A,32.95,38.87296154,39.00864254,0.249499808,0.32305,119.3768687,0.650347702,-0.000380404,1.581009917,659,321.2625,0.305076234,20,415.29
HKN,HKN72-SCPT-A,34.45,36.37065385,36.51552315,0.262134962,0.344926923,106.6585001,0.731860491,-0.000228692,1.661075322,689,335.8875,0.291686009,20,401.69
HKN,HKN72-SCPT-A,35.99,31.59184615,31.74339992,0.239387115,0.360842308,88.42678808,0.770996484,-0.000260607,1.750700302,719.8,350.9025,0.298567594,20,382.87
HKN,HKN72-SCPT-A,37.45,30.51780769,30.67377469,0.232063308,0.37135,81.92597782,0.774437988,-0.000390262,1.783323207,749,365.1375,0.298021731,20,395.23
HKN,HKN72-SCPT-A,38.96,19.00784,19.155092,0.17669208,0.3506,48.41320963,1.048806355,-0.003056253,2.090541179,779.2,379.86,0.331238577,20,415.33
HKN,HKN72-SCPT-A,40.48,32.98168,33.11507368,0.24921664,0.317604,81.8624921,0.771417483,-0.002991852,1.779685812,809.6,394.68,0.277014318,20,401.72
HKN,HKN72-SCPT-A,41.96,24.595,24.76773424,0.20692292,0.411272,58.49762654,0.863255195,-0.000794717,1.959744141,839.2,409.11,0.298018537,20,331.15
HKN,HKN72-SCPT-A,43.47,20.86969231,20.76840446,0.260115654,-0.241161539,46.94464838,1.314864058,-0.034672425,2.184217161,869.4,423.8325,0.264075905,20,305.9188825
HKN,HKN72-SCPT-A,44.97,23.55396154,23.60565869,0.145772115,0.123088462,51.77134578,0.643195323,-0.015238743,1.928659956,899.4,438.4575,0.337758736,20,350.08
HKN,HKN72-SCPT-A,46.49,29.4255,29.40287815,0.150738077,-0.053861539,62.79578698,0.532060107,-0.019082817,1.786059576,929.8,453.2775,0.329346365,20,422.52
HKN,HKN72-SCPT-A,47.97,28.17530769,28.16422131,0.181438577,-0.026396154,58.17736481,0.678795572,-0.018857608,1.890054671,959.4,467.7075,0.298433292,20,466.79
HKN,HKN72-SCPT-A,49.46,28.13032,28.19731168,0.18663904,0.159504,56.43416204,0.698921921,-0.012151192,1.9175043,989.2,482.235,0.290211536,20,401.75
